codigo_glaciar,nombre,tipo_glaciar,area_km2,region,provincia,comuna,latitud,longitud,cuenca,macrozona,altitud_media_msnm,altitud_max_msnm,altitud_min_msnm,volumen_hielo_km3,volumen_agua_km3,pendiente_grados,orientacion,anio_inventario
CL104514029@,sin_nombre,GLACIAR ROCOSO,0.031845139782,COQUIMBO,LIMARI,MONTE PATRIA,-30.8349081394393,-70.4663403685669,RIO LIMARI,MACROZONA NORTE,3711.94892473,3796,3648,0.000159083697999,0.000145879751065,23.9462769211,SE,2019
CL104514037@,sin_nombre,GLACIAR ROCOSO,0.0131439359203,COQUIMBO,LIMARI,MONTE PATRIA,-30.8298549880829,-70.4541575518008,RIO LIMARI,MACROZONA NORTE,3655.09150327,3676,3638,4.78747504474e-05,4.39011461603e-05,22.3128817939,S,2019
CL104514013@,sin_nombre,GLACIAR ROCOSO,0.0931241861469,COQUIMBO,LIMARI,MONTE PATRIA,-30.8566799557493,-70.3447447819201,RIO LIMARI,MACROZONA NORTE,3965.17652495,4091,3873,0.00068236054863,0.000625724623094,25.3754335587,S,2019
CL104510025@,sin_nombre,GLACIAR ROCOSO,0.0971688205505,COQUIMBO,LIMARI,MONTE PATRIA,-31.0328759241228,-70.2746131562436,RIO LIMARI,MACROZONA NORTE,3842.22477876,3887,3805,0.000722886569508,0.000662886984239,19.4614103927,W,2019
CL104520026@,sin_nombre,GLACIAR ROCOSO,0.0488540703329,COQUIMBO,LIMARI,MONTE PATRIA,-30.6753346055256,-70.3899145665364,RIO LIMARI,MACROZONA NORTE,3968.8556338,3998,3937,0.000284337691178,0.00026073766281,19.3135825857,N,2019
CL104520027@,sin_nombre,GLACIAR ROCOSO,0.0938987695213,COQUIMBO,LIMARI,MONTE PATRIA,-30.6758483748765,-70.398255595761,RIO LIMARI,MACROZONA NORTE,3997.19021237,4049,3963,0.000690073891212,0.000632797758241,16.8040233953,N,2019
CL104500123@,sin_nombre,GLACIAR ROCOSO,0.165366006502,COQUIMBO,LIMARI,RIO HURTADO,-30.5986849627064,-70.3360109798293,RIO LIMARI,MACROZONA NORTE,4041.63816475,4226,3965,0.00148739958545,0.00136394541986,26.6149026876,SW,2019
CL104500122@,sin_nombre,GLACIAR ROCOSO,0.0270757919091,COQUIMBO,LIMARI,RIO HURTADO,-30.6027635763921,-70.3351289758856,RIO LIMARI,MACROZONA NORTE,3993.42903226,4101,3939,0.000127646454073,0.000117051798385,37.2922058105,E,2019
CL104500125@,sin_nombre,GLACIAR ROCOSO,0.028998905602,COQUIMBO,LIMARI,RIO HURTADO,-30.6020136181738,-70.3336473736879,RIO LIMARI,MACROZONA NORTE,3936.68373494,3964,3924,0.000140103167083,0.000128474604215,9.83552042404,SW,2019
CL104500128@,sin_nombre,GLACIAR ROCOSO,0.016498868631,COQUIMBO,LIMARI,RIO HURTADO,-30.6026352500569,-70.3242601817487,RIO LIMARI,MACROZONA NORTE,3884.95918367,3907,3872,6.51750558072e-05,5.97655261752e-05,12.3249590056,S,2019
CL104500115@,sin_nombre,GLACIAR ROCOSO,0.0555097707698,COQUIMBO,LIMARI,RIO HURTADO,-30.6212797826199,-70.3562157554056,RIO LIMARI,MACROZONA NORTE,4061.10485133,4168,3931,0.000338146917015,0.000310080722903,26.1217789605,S,2019
CL104500117@,sin_nombre,GLACIAR ROCOSO,0.049647740116,COQUIMBO,LIMARI,RIO HURTADO,-30.625719997911,-70.3410592554296,RIO LIMARI,MACROZONA NORTE,3847.83419689,3960,3773,0.00029062415761,0.000266502352528,32.4402195267,S,2019
CL104500102@,sin_nombre,GLACIAR ROCOSO,0.0522285258931,COQUIMBO,LIMARI,RIO HURTADO,-30.6632793040971,-70.3265198235754,RIO LIMARI,MACROZONA NORTE,3951.49834983,4044,3892,0.000311312781744,0.000285473820859,38.8664726566,SE,2019
CL104520054@,sin_nombre,GLACIAR ROCOSO,0.29008846703,COQUIMBO,LIMARI,MONTE PATRIA,-30.7020846920994,-70.3242539408252,RIO LIMARI,MACROZONA NORTE,3812.89323843,4011,3745,0.00318896643896,0.00292428222453,14.3059993989,E,2019
