Id,COD_GLA,NOMBRE,CLASIFICA,AREA_KM2,REGION,PROVINCIA,COMUNA,DATUM,HUSO,NORTE,ESTE,FUENTE_DIG,FUEN_FECHA,INVE_FECHA,NOM_CUEN,COD_CUEN,COD_SCUEN,COD_SSCUEN,MZON_GLAC,LATITUD,LONGITUD,PERIMETRO,ORIENTA,HMEDIA,HMAX,HMIN,PENDIENTE,ESP_MED,F_ESP_MED,VOL_km3,EQ_AGUAKM3,WGI_1,WGI_2,WGI_3,FRENTE_TER,RESOL_IMG,ERROR,CUT_REG,CUT_PROV,CUT_COM
0,CL104701006@,Glaciar no identificado,GLACIAR ROCOSO,0.0594561543144,COQUIMBO,CHOAPA,SALAMANCA,WGS 84,19 SUR,6455060,369098,WV02,12/03/2019,2019,RIO CHOAPA,47,470,4701,MACROZONA NORTE,"-32,0330582404005","-70,3862988435483",1.91335851645,NW,3918.22206304,4160,3801,23.2154244371,10.4047852984,CHEN & OHMURA 1990,0.000371177112186,0.000340369411875,9,1,0,TIERRA,0.5,0.000956679303665,4,42,4204
0,CL104712012@,Glaciar no identificado,GLACIAR ROCOSO,0.0679681323143,COQUIMBO,CHOAPA,SALAMANCA,WGS 84,19 SUR,6503744,351093,WV02,29/01/2017,2019,RIO CHOAPA,47,471,4712,MACROZONA NORTE,"-31,591766834232","-70,5694804876655",1.98632161028,SW,3968.281602,4074,3903,19.5364815828,10.913847097,CHEN & OHMURA 1990,0.000445076282128,0.000408134950711,9,1,0,TIERRA,0.5,0.000993160852313,4,42,4204
0,CL104720019@,Glaciar no identificado,GLACIAR ROCOSO,0.416382866425,COQUIMBO,CHOAPA,ILLAPEL,WGS 84,19 SUR,6537578,348903,WV03,30/10/2019,2019,RIO CHOAPA,47,472,4720,MACROZONA NORTE,"-31,2863312876359","-70,587397140419",3.14054082174,SE,3480.41524553,3655,3400,12.2423581664,20.8450915892,CHEN & OHMURA 1990,0.00520772339208,0.00477548235054,9,2,0,TIERRA,0.31,0.000973567664421,4,42,4201
0,CL104721001@,Glaciar no identificado,GLACIAR ROCOSO,0.206824340519,COQUIMBO,CHOAPA,ILLAPEL,WGS 84,19 SUR,6519530,352227,WV02,29/01/2017,2019,RIO CHOAPA,47,472,4721,MACROZONA NORTE,"-31,4495396294417","-70,5551635321451",2.08767494944,NW,3693.17093311,3874,3608,17.6738109379,16.2373311683,CHEN & OHMURA 1990,0.0020149651864,0.00184772307593,9,3,0,TIERRA,0.5,0.0010438375243,4,42,4201
0,CL106020018@,TINGUIRIRICA 4,GLACIAR DE MONTAÑA,1.82677858,LIBERTADOR BERNARDO O HIGGINS,COLCHAGUA,SAN FERNANDO,WGS 84,19 SUR,6149881,382037,SENTINEL 2,07/03/2018,2019,RIO RAPEL,60,602,6020,MACROZONA CENTRO,"-34,7864533203551","-70,2893469523657",7.56092842206,S,4035.39861523,4416,3568,22.7547829354,35.3400150483,CHEN & OHMURA 1990,0.0645583825071,0.054874625131,6,3,8,TIERRA,10.0,0.0756092825306,6,63,6301
0,CL105705103@,AZUFRE,GLACIAR DE VALLE,9.7085100154,METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSE DE MAIPO,WGS 84,19 SUR,6301711,422184,SPOT 6,30/01/2015,2020,RIO MAIPO,57,570,5705,MACROZONA CENTRO,"-33,4211360659321","-69,8369912384161",27.792159912,W,5076.2372221,5812,3443,16.5076198628,64.1591101835,CHEN & OHMURA 1990,0.622889363796,0.529455959227,5,2,8,TIERRA,1.5,0.0416882402304,13,132,13203
0,CL105706068@,Glaciar no identificado,GLACIAR DE MONTAÑA,0.438682769272,METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSE DE MAIPO,WGS 84,19 SUR,6333577,401010,SENTINEL 2,09/04/2019,2019,RIO MAIPO,57,570,5706,MACROZONA CENTRO,"-33,1320116216418","-70,0612281330564",3.26907576176,SW,5396.98340961,5576,5122,28.9059747832,21.2369730427,CHEN & OHMURA 1990,0.00931629414533,0.00791885002353,6,7,6,TIERRA,10.0,0.0326907568869,13,132,13203
0,CL105702034A,MARMOLEJO A,GLACIAR DE VALLE,7.14939512193,METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSE DE MAIPO,WGS 84,19 SUR,6266104,415682,PLANETSCOPE,29/02/2020,2020,RIO MAIPO,57,570,5702,MACROZONA CENTRO,"-33,741759826127","-69,9102890379901",42.2019297667,SW,4979.02409821,6049,3516,20.1378521971,57.5200162393,CHEN & OHMURA 1990,0.411233323515,0.349548324988,5,3,6,TIERRA,3.0,0.126605790401,13,132,13203
0,CL105705084@,Glaciar no identificado,GLACIAR DE MONTAÑA,3.63298766257,METROPOLITANA DE SANTIAGO,CORDILLERA,SAN JOSE DE MAIPO,WGS 84,19 SUR,6305889,426588,LANDSAT OLI,25/03/2018,2019,RIO MAIPO,57,570,5705,MACROZONA CENTRO,"-33,3837711150704","-69,7892832625428",27.8994248152,SW,5342.97222681,5840,5068,13.6617067863,45.1709350361,CHEN & OHMURA 1990,0.164105449693,0.139489632239,6,3,3,TIERRA,15.0,0.418491362874,13,132,13203
0,CL105400052@,Glaciar no identificado,GLACIAR DE MONTAÑA,0.62454019144,VALPARAISO,LOS ANDES,LOS ANDES,WGS 84,19 SUR,6347759,404211,PLANETSCOPE,02/04/2020,2020,RIO ACONCAGUA,54,540,5400,MACROZONA CENTRO,"-33,0043984266899","-70,0254368405494",4.91908299042,W,4069.77372165,4228,3836,16.3369419172,24.0912824821,CHEN & OHMURA 1990,0.0150459741734,0.0127890780474,6,2,5,TIERRA,3.0,0.0147572490995,5,53,5301
